user_id,channel,record_datetime,duration_hhmmss,gender,age,province,age_group,time_of_day,seconds_viewed
903994,Trace TV,2016-01-04T18:09:00.000Z,1899-12-31T00:02:00.000Z,male,33,Western Cape,youth,Evening,120
802352,ICC Cricket World Cup 2011,2016-03-30T09:04:00.000Z,1899-12-31T00:10:06.000Z,None,0,None,children,Morning,606
866125,ICC Cricket World Cup 2011,2016-03-30T17:01:00.000Z,1899-12-31T00:00:42.000Z,male,30,Gauteng,youth,Evening,42
2425604,ICC Cricket World Cup 2011,2016-03-25T15:23:00.000Z,1899-12-31T00:00:10.000Z,female,51,Gauteng,adults,Afternoon,10
793571,SawSee,2016-02-02T17:18:00.000Z,1899-12-31T00:01:33.000Z,female,9,Eastern Cape,children,Evening,93
793571,Boomerang,2016-03-18T16:56:00.000Z,1899-12-31T00:00:10.000Z,female,9,Eastern Cape,children,Afternoon,10
793571,Channel O,2016-03-20T04:25:00.000Z,1899-12-31T00:17:15.000Z,female,9,Eastern Cape,children,Night,1035
793571,Boomerang,2016-02-03T06:43:00.000Z,1899-12-31T00:01:13.000Z,female,9,Eastern Cape,children,Morning,73
819248,Channel O,2016-03-31T10:01:00.000Z,1899-12-31T00:04:45.000Z,None,0,None,children,Morning,285
820321,Cartoon Network,2016-01-09T08:25:00.000Z,1899-12-31T00:00:40.000Z,male,26,Kwazulu Natal,youth,Morning,40
892453,Supersport Live Events,2016-03-24T09:09:00.000Z,1899-12-31T00:00:06.000Z,male,34,Gauteng,youth,Morning,6
892453,ICC Cricket World Cup 2011,2016-03-26T15:33:00.000Z,1899-12-31T05:01:12.000Z,male,34,Gauteng,youth,Afternoon,18072
828799,Channel O,2016-02-28T08:09:00.000Z,1899-12-31T00:00:00.000Z,male,38,Mpumalanga,adults,Morning,0
787656,Channel O,2016-02-15T08:40:00.000Z,1899-12-31T00:11:15.000Z,male,26,Gauteng,youth,Morning,675
