user_id,channel,record_datetime_utc,record_datetime_sast,month_sast,duration_hhmmss,gender,age,province,race,age_group,time_of_day,seconds_viewed,hours_viewed
831683,CNN,2016-02-25T19:48:00.000Z,2016-02-25T21:48:00.000Z,2016-02,1899-12-31T00:00:42.000Z,male,36,Kwazulu Natal,indian_asian,adults,Night,42,0.01
831683,Africa Magic,2016-02-25T15:59:00.000Z,2016-02-25T17:59:00.000Z,2016-02,1899-12-31T00:00:00.000Z,male,36,Kwazulu Natal,indian_asian,adults,Evening,0,0.00
831683,ICC Cricket World Cup 2011,2016-03-04T07:21:00.000Z,2016-03-04T09:21:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,36,Kwazulu Natal,indian_asian,adults,Morning,0,0.00
761775,Cartoon Network,2016-02-04T14:12:00.000Z,2016-02-04T16:12:00.000Z,2016-02,1899-12-31T00:02:15.000Z,male,24,Gauteng,None,youth,Afternoon,135,0.04
761775,SuperSport Blitz,2016-01-25T15:59:00.000Z,2016-01-25T17:59:00.000Z,2016-01,1899-12-31T00:01:14.000Z,male,24,Gauteng,None,youth,Evening,74,0.02
866131,Boomerang,2016-03-07T17:16:00.000Z,2016-03-07T19:16:00.000Z,2016-03,1899-12-31T00:00:03.000Z,male,44,Western Cape,black,adults,Evening,3,0.00
904019,Africa Magic,2016-03-29T16:03:00.000Z,2016-03-29T18:03:00.000Z,2016-03,1899-12-31T00:14:57.500Z,female,25,Gauteng,black,youth,Evening,897,0.25
939575,Africa Magic,2016-03-10T21:30:00.000Z,2016-03-10T23:30:00.000Z,2016-03,1899-12-31T00:01:22.000Z,male,25,Gauteng,black,youth,Night,82,0.02
808923,SuperSport Blitz,2016-02-21T18:03:00.000Z,2016-02-21T20:03:00.000Z,2016-02,1899-12-31T00:01:12.000Z,male,23,Eastern Cape,other,youth,Evening,72,0.02
808923,Trace TV,2016-02-17T18:45:00.000Z,2016-02-17T20:45:00.000Z,2016-02,1899-12-31T00:13:21.000Z,male,23,Eastern Cape,other,youth,Evening,801,0.22
933014,Boomerang,2016-03-31T23:24:00.000Z,2016-04-01T01:24:00.000Z,2016-04,1899-12-31T00:00:00.000Z,male,19,Limpopo,black,youth,Night,0,0.00
892461,SawSee,2016-03-12T08:24:00.000Z,2016-03-12T10:24:00.000Z,2016-03,1899-12-31T00:01:18.000Z,male,30,Kwazulu Natal,indian_asian,youth,Morning,78,0.02
892461,SawSee,2016-03-09T03:54:00.000Z,2016-03-09T05:54:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,30,Kwazulu Natal,indian_asian,youth,Morning,0,0.00
2255463,Boomerang,2016-03-31T13:17:00.000Z,2016-03-31T15:17:00.000Z,2016-03,1899-12-31T00:00:54.000Z,male,43,Gauteng,black,adults,Afternoon,54,0.02
808926,Supersport Live Events,2016-02-19T07:20:00.000Z,2016-02-19T09:20:00.000Z,2016-02,1899-12-31T01:29:08.000Z,male,22,Western Cape,coloured,youth,Morning,5348,1.49
808926,Channel O,2016-02-21T06:27:00.000Z,2016-02-21T08:27:00.000Z,2016-02,1899-12-31T00:01:48.000Z,male,22,Western Cape,coloured,youth,Morning,108,0.03
808926,Trace TV,2016-02-02T10:17:00.000Z,2016-02-02T12:17:00.000Z,2016-02,1899-12-31T00:01:06.000Z,male,22,Western Cape,coloured,youth,Afternoon,66,0.02
808926,Supersport Live Events,2016-02-25T06:38:00.000Z,2016-02-25T08:38:00.000Z,2016-02,1899-12-31T00:03:14.000Z,male,22,Western Cape,coloured,youth,Morning,194,0.05
808926,Cartoon Network,2016-02-18T12:00:00.000Z,2016-02-18T14:00:00.000Z,2016-02,1899-12-31T00:21:11.000Z,male,22,Western Cape,coloured,youth,Afternoon,1271,0.35
771783,Trace TV,2016-02-01T12:51:00.000Z,2016-02-01T14:51:00.000Z,2016-02,1899-12-31T00:04:45.000Z,male,23,Gauteng,indian_asian,youth,Afternoon,285,0.08
771783,SawSee,2016-01-30T21:43:00.000Z,2016-01-30T23:43:00.000Z,2016-01,1899-12-31T00:00:13.000Z,male,23,Gauteng,indian_asian,youth,Night,13,0.00
2368357,SuperSport Blitz,2016-03-02T12:32:00.000Z,2016-03-02T14:32:00.000Z,2016-03,1899-12-31T00:03:52.000Z,male,37,Gauteng,black,adults,Afternoon,232,0.06
2368357,Supersport Live Events,2016-03-08T10:46:00.000Z,2016-03-08T12:46:00.000Z,2016-03,1899-12-31T00:00:56.000Z,male,37,Gauteng,black,adults,Afternoon,56,0.02
2368357,Cartoon Network,2016-03-08T15:28:00.000Z,2016-03-08T17:28:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,37,Gauteng,black,adults,Evening,0,0.00
2368357,Trace TV,2016-03-08T15:28:00.000Z,2016-03-08T17:28:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,37,Gauteng,black,adults,Evening,0,0.00
788616,SuperSport Blitz,2016-01-27T12:03:00.000Z,2016-01-27T14:03:00.000Z,2016-01,1899-12-31T00:00:06.000Z,female,44,Gauteng,black,adults,Afternoon,6,0.00
771785,ICC Cricket World Cup 2011,2016-02-28T16:53:00.000Z,2016-02-28T18:53:00.000Z,2016-02,1899-12-31T00:00:46.000Z,male,43,Gauteng,black,adults,Evening,46,0.01
630977,Trace TV,2016-01-16T09:52:00.000Z,2016-01-16T11:52:00.000Z,2016-01,1899-12-31T00:00:15.000Z,male,28,Gauteng,coloured,youth,Morning,15,0.00
808928,Channel O,2016-02-13T19:35:00.000Z,2016-02-13T21:35:00.000Z,2016-02,1899-12-31T00:05:30.000Z,male,35,Gauteng,black,youth,Night,330,0.09
808928,ICC Cricket World Cup 2011,2016-03-01T12:15:00.000Z,2016-03-01T14:15:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,35,Gauteng,black,youth,Afternoon,0,0.00
831694,Africa Magic,2016-03-01T22:07:00.000Z,2016-03-02T00:07:00.000Z,2016-03,1899-12-31T00:00:02.000Z,male,25,Limpopo,None,youth,Night,2,0.00
808929,Africa Magic,2016-01-11T18:18:00.000Z,2016-01-11T20:18:00.000Z,2016-01,1899-12-31T00:00:57.000Z,female,32,Eastern Cape,black,youth,Evening,57,0.02
808929,Cartoon Network,2016-01-24T18:35:00.000Z,2016-01-24T20:35:00.000Z,2016-01,1899-12-31T01:32:32.000Z,female,32,Eastern Cape,black,youth,Evening,5552,1.54
892465,Cartoon Network,2016-03-13T18:39:00.000Z,2016-03-13T20:39:00.000Z,2016-03,1899-12-31T00:02:31.000Z,male,36,Gauteng,black,adults,Evening,151,0.04
892465,Channel O,2016-03-14T10:38:00.000Z,2016-03-14T12:38:00.000Z,2016-03,1899-12-31T00:00:36.000Z,male,36,Gauteng,black,adults,Afternoon,36,0.01
892465,CNN,2016-03-18T14:04:00.000Z,2016-03-18T16:04:00.000Z,2016-03,1899-12-31T00:00:37.000Z,male,36,Gauteng,black,adults,Afternoon,37,0.01
